833,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
389,0.58,0.61,0.51,0.52,0.49,0.5,0.58,0.58,0.57,0.59,0.59,0.53,0.5,0.63,0.57,0.6,0.54,0.51,0.63,0.59,0.58,0.59,0.66,0.64,0.55,0.52,0.55,0.52,0.49,0.6,0.54,0.62,0.57,0.6,0.55,0.57,0.47,0.52,0.56,0.63,0.62,0.57,0.59,0.5,0.68,0.54,0.63,0.61,0.53,0.6,0.52,0.53,0.61,0.54,0.54,0.57,0.54,0.59,0.65,0.67,0.57,0.6,0.6,0.57,0.59,0.58,0.56,0.62,0.55,0.62,0.52,0.59,0.6,0.55,0.58,0.53,0.5,0.65,0.63,0.58,0.61,0.57,0.6,0.57,0.54,0.54,0.6,0.66,0.56,0.55,0.5,0.58,0.56,0.6,0.53,0.54,0.57,0.52,0.53,0.52
501,0.97,0.95,0.91,0.96,0.94,0.92,0.96,0.94,0.94,0.97,0.99,0.95,0.96,0.96,0.93,0.93,0.94,0.96,0.98,0.96,0.97,0.94,0.96,0.94,0.97,0.96,0.96,0.99,0.96,0.93,0.97,0.97,0.94,0.97,0.99,0.96,0.98,0.98,0.97,0.96,0.92,0.96,0.97,0.95,0.94,0.96,0.96,0.97,0.96,0.93,0.97,0.98,0.96,0.92,0.96,0.95,0.93,0.97,0.95,0.97,0.94,0.96,0.93,0.97,0.97,0.95,0.97,0.93,0.99,0.96,0.95,0.96,0.95,0.96,0.93,0.96,0.98,0.97,0.97,0.93,0.92,0.96,0.97,0.92,0.94,0.96,0.95,0.96,0.94,0.96,0.96,0.94,0.91,0.92,0.96,0.98,0.98,0.98,0.98,0.94
637,0.58,0.54,0.51,0.5,0.57,0.61,0.6,0.6,0.59,0.53,0.58,0.56,0.61,0.62,0.61,0.56,0.62,0.52,0.58,0.5,0.59,0.55,0.54,0.57,0.51,0.56,0.64,0.56,0.56,0.58,0.62,0.55,0.57,0.56,0.63,0.6,0.57,0.64,0.58,0.63,0.53,0.58,0.61,0.53,0.59,0.49,0.56,0.53,0.61,0.63,0.61,0.5,0.6,0.58,0.53,0.53,0.56,0.56,0.54,0.61,0.57,0.52,0.62,0.62,0.57,0.6,0.54,0.61,0.58,0.63,0.61,0.6,0.55,0.54,0.61,0.58,0.54,0.58,0.62,0.53,0.5,0.56,0.55,0.53,0.62,0.61,0.58,0.49,0.51,0.65,0.52,0.59,0.53,0.54,0.61,0.6,0.53,0.54,0.56,0.61
545,0.97,0.96,0.97,0.96,0.95,0.94,0.96,0.96,0.95,0.97,0.96,0.96,0.96,0.97,0.97,0.94,0.93,0.96,0.95,0.98,0.98,0.95,0.97,0.97,0.98,0.98,0.97,0.98,0.98,0.98,0.99,0.97,0.99,0.94,0.97,1.0,1.0,0.98,0.98,0.97,0.95,0.98,0.96,0.97,0.96,0.97,0.96,0.98,0.94,0.98,0.97,0.97,0.97,0.97,0.96,0.97,1.0,0.95,0.97,0.98,0.99,0.97,0.96,0.96,0.99,0.96,0.98,0.98,0.96,0.97,0.96,0.97,0.98,0.98,0.94,0.96,0.97,0.97,0.96,0.98,0.98,0.96,0.97,0.96,0.96,0.98,0.96,0.97,0.98,0.98,0.96,0.98,0.97,0.98,0.96,0.96,0.98,0.98,0.97,0.96
371,0.64,0.6,0.62,0.73,0.58,0.63,0.65,0.65,0.58,0.66,0.71,0.68,0.53,0.58,0.62,0.57,0.65,0.56,0.65,0.62,0.57,0.63,0.53,0.59,0.61,0.6,0.61,0.69,0.58,0.52,0.6,0.64,0.64,0.64,0.62,0.68,0.71,0.68,0.57,0.62,0.65,0.64,0.59,0.62,0.7,0.62,0.67,0.73,0.64,0.62,0.7,0.58,0.59,0.64,0.62,0.62,0.59,0.68,0.6,0.59,0.68,0.62,0.71,0.62,0.72,0.66,0.65,0.55,0.57,0.63,0.57,0.66,0.56,0.66,0.68,0.63,0.58,0.59,0.68,0.69,0.73,0.66,0.62,0.6,0.65,0.6,0.65,0.66,0.66,0.65,0.62,0.65,0.7,0.5,0.61,0.66,0.63,0.58,0.61,0.62
915,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73
707,0.6,0.58,0.64,0.61,0.61,0.55,0.5,0.62,0.67,0.65,0.63,0.53,0.61,0.64,0.57,0.57,0.55,0.66,0.64,0.56,0.6,0.6,0.61,0.56,0.59,0.51,0.63,0.62,0.65,0.54,0.66,0.66,0.6,0.6,0.65,0.62,0.56,0.47,0.61,0.64,0.62,0.65,0.62,0.63,0.52,0.64,0.57,0.6,0.55,0.65,0.54,0.63,0.55,0.57,0.63,0.59,0.58,0.62,0.6,0.5,0.59,0.59,0.59,0.58,0.64,0.5,0.6,0.62,0.61,0.61,0.6,0.69,0.58,0.68,0.51,0.57,0.7,0.65,0.63,0.6,0.61,0.58,0.56,0.59,0.56,0.5,0.62,0.58,0.62,0.51,0.55,0.65,0.58,0.54,0.6,0.68,0.69,0.63,0.61,0.56
342,0.6,0.66,0.61,0.64,0.55,0.64,0.62,0.67,0.65,0.64,0.58,0.61,0.55,0.6,0.66,0.61,0.54,0.61,0.65,0.59,0.54,0.66,0.58,0.65,0.61,0.54,0.59,0.56,0.6,0.68,0.61,0.62,0.52,0.67,0.52,0.62,0.69,0.63,0.61,0.63,0.63,0.71,0.72,0.52,0.67,0.58,0.57,0.58,0.66,0.61,0.63,0.63,0.57,0.61,0.63,0.66,0.61,0.58,0.62,0.6,0.65,0.61,0.61,0.54,0.61,0.62,0.62,0.66,0.69,0.64,0.6,0.61,0.57,0.65,0.56,0.63,0.59,0.58,0.61,0.58,0.63,0.56,0.6,0.62,0.62,0.64,0.6,0.58,0.6,0.64,0.64,0.59,0.64,0.59,0.67,0.62,0.72,0.6,0.61,0.59
736,0.5,0.49,0.45,0.49,0.46,0.41,0.51,0.52,0.56,0.52,0.53,0.52,0.45,0.49,0.54,0.45,0.55,0.43,0.4,0.52,0.53,0.49,0.45,0.52,0.51,0.55,0.45,0.54,0.51,0.49,0.53,0.51,0.48,0.51,0.45,0.47,0.49,0.51,0.5,0.48,0.5,0.55,0.53,0.52,0.49,0.48,0.46,0.52,0.55,0.51,0.43,0.47,0.46,0.54,0.56,0.56,0.52,0.49,0.4,0.46,0.48,0.48,0.54,0.56,0.43,0.5,0.54,0.55,0.46,0.54,0.4,0.49,0.54,0.56,0.52,0.5,0.46,0.49,0.54,0.54,0.52,0.46,0.46,0.49,0.48,0.47,0.47,0.53,0.47,0.46,0.42,0.52,0.53,0.49,0.51,0.48,0.51,0.6,0.51,0.55
788,0.53,0.46,0.53,0.56,0.51,0.49,0.5,0.5,0.46,0.45,0.46,0.52,0.41,0.51,0.53,0.49,0.49,0.58,0.5,0.52,0.41,0.52,0.55,0.52,0.52,0.45,0.52,0.46,0.54,0.42,0.46,0.54,0.47,0.42,0.49,0.53,0.42,0.56,0.46,0.44,0.57,0.52,0.53,0.53,0.47,0.56,0.39,0.52,0.39,0.52,0.5,0.43,0.49,0.51,0.42,0.47,0.44,0.53,0.51,0.4,0.47,0.45,0.56,0.49,0.49,0.52,0.57,0.49,0.55,0.45,0.52,0.45,0.53,0.43,0.48,0.46,0.47,0.45,0.49,0.52,0.48,0.48,0.44,0.47,0.52,0.38,0.55,0.49,0.47,0.59,0.49,0.5,0.5,0.56,0.48,0.48,0.48,0.58,0.44,0.47
696,0.52,0.54,0.39,0.52,0.51,0.53,0.5,0.5,0.51,0.5,0.45,0.49,0.53,0.57,0.47,0.45,0.52,0.45,0.52,0.45,0.47,0.54,0.51,0.44,0.43,0.4,0.52,0.49,0.51,0.47,0.53,0.58,0.42,0.49,0.5,0.45,0.5,0.5,0.53,0.53,0.5,0.51,0.5,0.37,0.52,0.53,0.53,0.54,0.55,0.42,0.48,0.47,0.47,0.51,0.51,0.5,0.54,0.5,0.51,0.46,0.49,0.51,0.46,0.42,0.55,0.52,0.53,0.49,0.53,0.52,0.49,0.47,0.41,0.46,0.53,0.51,0.47,0.51,0.51,0.5,0.48,0.52,0.37,0.47,0.47,0.51,0.51,0.4,0.48,0.42,0.49,0.46,0.58,0.4,0.48,0.46,0.47,0.58,0.53,0.57
148,0.67,0.65,0.6,0.68,0.72,0.62,0.54,0.72,0.76,0.68,0.63,0.65,0.67,0.59,0.63,0.67,0.7,0.63,0.67,0.64,0.68,0.7,0.67,0.65,0.66,0.7,0.65,0.63,0.71,0.63,0.71,0.69,0.68,0.68,0.72,0.67,0.7,0.66,0.61,0.72,0.67,0.67,0.65,0.63,0.64,0.72,0.67,0.76,0.66,0.69,0.68,0.76,0.69,0.65,0.75,0.62,0.73,0.72,0.72,0.67,0.69,0.65,0.66,0.68,0.67,0.72,0.69,0.59,0.69,0.72,0.69,0.67,0.71,0.64,0.65,0.68,0.67,0.68,0.71,0.66,0.72,0.66,0.63,0.64,0.49,0.6,0.64,0.66,0.7,0.75,0.58,0.66,0.67,0.69,0.64,0.68,0.61,0.67,0.75,0.69
569,0.98,0.97,0.93,0.95,0.93,0.94,0.95,0.96,0.95,0.99,0.95,0.93,0.97,0.96,0.93,0.95,0.98,0.93,0.96,0.93,0.97,0.95,0.93,0.95,0.92,0.93,0.94,0.94,0.96,0.94,0.95,0.98,0.94,0.91,0.96,0.97,0.92,0.97,0.91,0.95,0.94,0.96,0.91,0.95,0.96,0.96,0.93,0.93,0.95,0.93,0.95,0.9,0.92,0.96,0.91,0.97,0.94,0.94,0.92,0.95,0.91,0.95,0.95,0.94,0.96,0.97,0.94,0.95,0.95,0.97,0.96,0.96,0.94,0.97,0.94,0.96,0.94,0.93,0.96,0.95,0.94,0.97,0.96,0.96,0.9,0.97,0.94,0.95,0.94,0.97,1.0,0.95,0.96,0.96,0.97,0.93,0.95,0.93,0.95,0.97
86,0.7,0.63,0.68,0.65,0.58,0.59,0.65,0.64,0.66,0.69,0.67,0.64,0.62,0.6,0.63,0.63,0.68,0.68,0.6,0.6,0.64,0.63,0.66,0.65,0.68,0.7,0.68,0.6,0.55,0.62,0.65,0.61,0.69,0.6,0.67,0.59,0.67,0.66,0.62,0.65,0.68,0.67,0.61,0.69,0.62,0.65,0.59,0.65,0.6,0.68,0.65,0.69,0.6,0.71,0.59,0.63,0.62,0.63,0.68,0.6,0.67,0.69,0.59,0.68,0.61,0.63,0.65,0.66,0.61,0.65,0.64,0.69,0.64,0.68,0.7,0.61,0.58,0.59,0.63,0.61,0.68,0.64,0.7,0.59,0.62,0.73,0.68,0.63,0.64,0.64,0.7,0.66,0.68,0.66,0.58,0.6,0.6,0.67,0.65,0.65
792,0.55,0.59,0.58,0.62,0.65,0.59,0.57,0.62,0.59,0.61,0.53,0.55,0.56,0.52,0.58,0.55,0.65,0.61,0.55,0.59,0.55,0.61,0.56,0.6,0.57,0.56,0.55,0.62,0.53,0.56,0.62,0.53,0.51,0.59,0.52,0.56,0.63,0.53,0.51,0.56,0.59,0.6,0.61,0.6,0.57,0.58,0.6,0.47,0.57,0.56,0.59,0.61,0.59,0.57,0.59,0.61,0.62,0.55,0.58,0.55,0.6,0.57,0.54,0.59,0.58,0.61,0.55,0.58,0.55,0.57,0.55,0.56,0.58,0.57,0.57,0.55,0.58,0.56,0.48,0.6,0.59,0.6,0.58,0.52,0.55,0.56,0.53,0.56,0.59,0.59,0.55,0.58,0.59,0.55,0.54,0.57,0.59,0.59,0.62,0.56
951,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86
323,0.53,0.6,0.56,0.58,0.58,0.5,0.6,0.65,0.55,0.58,0.6,0.53,0.57,0.6,0.53,0.58,0.53,0.56,0.5,0.58,0.61,0.57,0.56,0.51,0.5,0.58,0.54,0.56,0.56,0.56,0.58,0.49,0.59,0.56,0.5,0.52,0.58,0.63,0.57,0.48,0.58,0.59,0.61,0.62,0.62,0.53,0.61,0.51,0.56,0.61,0.57,0.6,0.65,0.48,0.54,0.6,0.61,0.52,0.59,0.62,0.56,0.58,0.55,0.56,0.53,0.54,0.6,0.53,0.52,0.54,0.55,0.54,0.52,0.58,0.54,0.62,0.54,0.59,0.62,0.49,0.57,0.46,0.61,0.59,0.66,0.59,0.59,0.53,0.63,0.58,0.59,0.56,0.58,0.53,0.5,0.58,0.58,0.47,0.59,0.53
850,0.64,0.58,0.65,0.6,0.66,0.6,0.6,0.69,0.61,0.66,0.65,0.64,0.64,0.66,0.59,0.61,0.64,0.63,0.61,0.65,0.62,0.63,0.64,0.65,0.62,0.64,0.63,0.61,0.64,0.61,0.56,0.65,0.64,0.64,0.65,0.64,0.62,0.67,0.61,0.64,0.65,0.64,0.68,0.62,0.61,0.64,0.62,0.62,0.64,0.59,0.64,0.66,0.64,0.61,0.65,0.56,0.64,0.61,0.64,0.65,0.6,0.61,0.62,0.63,0.58,0.64,0.67,0.59,0.61,0.59,0.61,0.6,0.6,0.62,0.65,0.64,0.66,0.63,0.61,0.64,0.64,0.66,0.63,0.61,0.63,0.61,0.63,0.65,0.66,0.62,0.57,0.64,0.62,0.67,0.65,0.61,0.61,0.65,0.63,0.64
867,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81
152,0.73,0.66,0.62,0.68,0.67,0.7,0.69,0.7,0.7,0.67,0.69,0.66,0.68,0.68,0.68,0.69,0.68,0.64,0.67,0.66,0.72,0.7,0.68,0.69,0.64,0.68,0.72,0.68,0.64,0.73,0.71,0.69,0.71,0.71,0.7,0.7,0.73,0.72,0.67,0.66,0.68,0.69,0.69,0.64,0.69,0.71,0.65,0.63,0.67,0.71,0.67,0.71,0.69,0.68,0.64,0.68,0.68,0.63,0.66,0.7,0.69,0.69,0.64,0.7,0.69,0.69,0.7,0.7,0.71,0.71,0.67,0.67,0.68,0.73,0.63,0.66,0.71,0.69,0.68,0.65,0.72,0.7,0.64,0.71,0.66,0.68,0.67,0.7,0.68,0.68,0.72,0.73,0.7,0.67,0.67,0.66,0.63,0.68,0.68,0.67
304,0.53,0.53,0.55,0.5,0.5,0.44,0.51,0.52,0.48,0.54,0.6,0.51,0.59,0.49,0.56,0.55,0.6,0.51,0.54,0.54,0.54,0.54,0.62,0.62,0.51,0.56,0.51,0.59,0.53,0.54,0.52,0.54,0.57,0.51,0.52,0.53,0.49,0.51,0.57,0.51,0.47,0.52,0.5,0.44,0.48,0.55,0.52,0.59,0.49,0.42,0.46,0.53,0.46,0.51,0.6,0.54,0.49,0.59,0.48,0.55,0.61,0.61,0.45,0.44,0.57,0.59,0.58,0.53,0.54,0.47,0.52,0.47,0.51,0.46,0.6,0.56,0.59,0.55,0.53,0.52,0.55,0.47,0.51,0.59,0.54,0.51,0.48,0.49,0.53,0.46,0.59,0.5,0.59,0.5,0.45,0.64,0.46,0.56,0.56,0.52
660,0.54,0.57,0.62,0.6,0.5,0.65,0.58,0.64,0.58,0.56,0.58,0.55,0.51,0.54,0.61,0.62,0.65,0.62,0.61,0.57,0.51,0.62,0.55,0.61,0.58,0.62,0.58,0.55,0.55,0.58,0.63,0.51,0.51,0.62,0.57,0.58,0.54,0.64,0.59,0.58,0.53,0.68,0.63,0.51,0.65,0.6,0.56,0.6,0.62,0.62,0.58,0.61,0.57,0.58,0.65,0.64,0.48,0.48,0.58,0.69,0.62,0.53,0.62,0.62,0.56,0.58,0.61,0.66,0.48,0.58,0.59,0.61,0.61,0.54,0.55,0.52,0.55,0.59,0.6,0.52,0.48,0.64,0.67,0.54,0.53,0.57,0.58,0.56,0.53,0.65,0.54,0.55,0.56,0.56,0.48,0.61,0.51,0.59,0.48,0.52
444,0.96,0.95,0.98,0.97,0.93,0.96,0.92,0.96,0.98,0.95,0.96,0.98,0.98,0.96,0.94,0.97,0.94,0.92,0.95,0.95,0.95,0.96,0.99,0.97,0.95,0.93,0.94,0.93,0.96,0.97,0.92,0.97,0.94,0.97,0.98,0.93,0.95,0.96,0.95,0.97,0.98,0.93,0.96,0.93,0.93,0.91,0.94,0.94,0.98,0.97,0.93,0.93,0.96,0.96,0.96,0.96,0.96,0.96,0.93,0.96,0.95,0.96,0.96,0.94,0.96,0.94,0.96,0.98,0.95,0.93,0.94,0.96,0.99,0.98,0.96,0.98,0.92,0.93,0.98,0.97,0.93,0.9,0.93,0.92,0.97,0.98,0.96,0.97,0.97,0.95,0.94,0.95,0.95,0.91,0.94,0.97,0.95,0.92,0.95,0.97
481,0.94,0.89,0.93,0.94,0.92,0.93,0.94,0.91,0.92,0.91,0.91,0.9,0.91,0.96,0.93,0.94,0.92,0.92,0.92,0.94,0.94,0.95,0.93,0.97,0.9,0.92,0.92,0.92,0.96,0.93,0.95,0.92,0.89,0.91,0.91,0.91,0.91,0.91,0.93,0.93,0.97,0.95,0.91,0.95,0.93,0.96,0.96,0.9,0.89,0.95,0.94,0.91,0.88,0.87,0.9,0.91,0.91,0.92,0.9,0.91,0.86,0.94,0.9,0.91,0.95,0.94,0.91,0.91,0.95,0.96,0.96,0.94,0.98,0.9,0.92,0.91,0.92,0.94,0.93,0.94,0.92,0.9,0.94,0.96,0.95,0.93,0.95,0.93,0.9,0.97,0.88,0.88,0.96,0.9,0.91,0.96,0.99,0.95,0.97,0.93
839,0.58,0.67,0.64,0.63,0.71,0.64,0.65,0.63,0.66,0.69,0.64,0.68,0.61,0.66,0.59,0.6,0.71,0.63,0.67,0.64,0.55,0.57,0.59,0.57,0.68,0.63,0.65,0.64,0.73,0.68,0.64,0.62,0.6,0.67,0.61,0.62,0.69,0.63,0.61,0.56,0.66,0.6,0.72,0.68,0.66,0.63,0.57,0.67,0.72,0.58,0.61,0.67,0.55,0.58,0.67,0.69,0.67,0.65,0.6,0.68,0.69,0.66,0.62,0.71,0.68,0.58,0.63,0.68,0.67,0.6,0.59,0.64,0.68,0.66,0.59,0.61,0.71,0.68,0.67,0.63,0.62,0.63,0.62,0.66,0.65,0.51,0.63,0.68,0.64,0.61,0.64,0.65,0.57,0.74,0.62,0.62,0.67,0.64,0.61,0.58
463,0.93,0.98,0.95,0.96,0.91,0.98,0.94,0.94,0.95,0.95,0.91,0.94,0.96,0.92,0.95,0.96,0.97,0.93,0.93,0.94,0.96,0.99,0.97,0.96,0.92,0.94,0.96,0.94,0.95,0.98,0.95,0.97,0.96,0.99,0.94,0.97,0.95,0.93,0.97,0.96,0.95,0.97,0.91,0.93,0.94,0.94,0.94,0.97,0.97,0.95,0.95,0.94,0.92,0.94,0.96,0.92,0.96,0.96,0.95,0.97,0.94,0.96,0.97,0.97,0.94,0.95,0.93,0.96,0.92,0.95,0.96,0.97,0.96,0.97,0.94,0.96,0.93,0.96,0.95,0.9,0.95,0.99,0.95,1.0,0.94,0.98,0.93,0.96,0.94,0.94,0.99,0.96,0.94,0.93,0.95,0.96,0.95,0.97,0.96,0.96
247,0.76,0.69,0.71,0.71,0.78,0.78,0.77,0.68,0.74,0.74,0.76,0.69,0.72,0.74,0.78,0.8,0.74,0.7,0.72,0.78,0.76,0.77,0.72,0.76,0.8,0.77,0.68,0.68,0.74,0.7,0.73,0.81,0.75,0.77,0.75,0.8,0.74,0.72,0.64,0.77,0.71,0.72,0.77,0.85,0.72,0.71,0.74,0.63,0.76,0.76,0.71,0.76,0.7,0.69,0.73,0.7,0.77,0.77,0.78,0.8,0.77,0.74,0.78,0.74,0.79,0.76,0.74,0.72,0.76,0.72,0.71,0.77,0.72,0.66,0.77,0.68,0.76,0.76,0.72,0.74,0.76,0.72,0.79,0.78,0.73,0.74,0.77,0.73,0.81,0.82,0.76,0.76,0.73,0.75,0.77,0.69,0.74,0.69,0.77,0.69
230,0.69,0.65,0.67,0.66,0.66,0.61,0.69,0.6,0.63,0.61,0.63,0.66,0.58,0.69,0.64,0.68,0.68,0.69,0.65,0.59,0.65,0.65,0.59,0.63,0.64,0.66,0.68,0.65,0.64,0.62,0.64,0.66,0.71,0.61,0.66,0.63,0.68,0.64,0.59,0.74,0.69,0.6,0.65,0.7,0.67,0.63,0.63,0.66,0.64,0.62,0.69,0.55,0.58,0.62,0.64,0.59,0.74,0.59,0.58,0.6,0.6,0.72,0.68,0.58,0.6,0.73,0.6,0.62,0.6,0.62,0.62,0.62,0.59,0.62,0.64,0.63,0.6,0.63,0.64,0.58,0.64,0.67,0.65,0.68,0.66,0.66,0.64,0.69,0.61,0.57,0.69,0.62,0.69,0.6,0.6,0.67,0.63,0.62,0.63,0.69
249,0.61,0.6,0.61,0.64,0.65,0.68,0.61,0.67,0.65,0.7,0.67,0.59,0.63,0.65,0.69,0.63,0.61,0.66,0.65,0.64,0.65,0.67,0.68,0.73,0.66,0.61,0.66,0.6,0.64,0.67,0.61,0.6,0.73,0.61,0.66,0.68,0.72,0.65,0.67,0.57,0.68,0.69,0.61,0.65,0.66,0.55,0.65,0.69,0.69,0.54,0.62,0.65,0.59,0.71,0.71,0.76,0.7,0.64,0.63,0.7,0.68,0.63,0.68,0.6,0.63,0.61,0.66,0.62,0.71,0.61,0.72,0.64,0.66,0.64,0.6,0.71,0.72,0.65,0.66,0.57,0.66,0.66,0.6,0.61,0.67,0.66,0.59,0.65,0.75,0.67,0.67,0.71,0.65,0.61,0.66,0.65,0.67,0.66,0.71,0.57
715,0.57,0.57,0.56,0.49,0.52,0.58,0.51,0.51,0.6,0.51,0.59,0.59,0.54,0.52,0.58,0.5,0.52,0.51,0.48,0.52,0.5,0.54,0.55,0.57,0.59,0.53,0.62,0.55,0.53,0.51,0.59,0.54,0.61,0.55,0.57,0.55,0.59,0.5,0.58,0.54,0.49,0.45,0.44,0.6,0.49,0.57,0.51,0.53,0.51,0.48,0.52,0.53,0.56,0.54,0.61,0.47,0.55,0.54,0.43,0.58,0.52,0.59,0.55,0.54,0.52,0.52,0.58,0.46,0.57,0.5,0.64,0.55,0.59,0.45,0.49,0.53,0.49,0.62,0.57,0.58,0.6,0.57,0.51,0.63,0.51,0.54,0.55,0.52,0.55,0.63,0.52,0.55,0.56,0.48,0.56,0.52,0.53,0.5,0.54,0.49
186,0.67,0.69,0.62,0.67,0.71,0.68,0.68,0.66,0.65,0.71,0.75,0.62,0.66,0.62,0.74,0.7,0.64,0.72,0.67,0.64,0.71,0.65,0.68,0.6,0.68,0.64,0.67,0.66,0.65,0.71,0.68,0.65,0.67,0.74,0.61,0.64,0.66,0.71,0.74,0.71,0.6,0.64,0.62,0.71,0.66,0.64,0.64,0.67,0.56,0.64,0.64,0.67,0.66,0.66,0.71,0.72,0.69,0.67,0.68,0.65,0.69,0.69,0.7,0.69,0.67,0.67,0.59,0.72,0.61,0.65,0.7,0.56,0.56,0.71,0.66,0.63,0.71,0.69,0.57,0.64,0.61,0.71,0.66,0.64,0.73,0.61,0.7,0.68,0.71,0.65,0.65,0.7,0.7,0.69,0.65,0.7,0.61,0.71,0.68,0.69
778,0.55,0.49,0.53,0.56,0.54,0.56,0.49,0.5,0.63,0.57,0.47,0.55,0.49,0.5,0.52,0.55,0.47,0.55,0.54,0.55,0.51,0.5,0.51,0.51,0.46,0.46,0.52,0.48,0.55,0.51,0.51,0.54,0.53,0.52,0.53,0.46,0.49,0.54,0.52,0.44,0.5,0.54,0.47,0.45,0.47,0.47,0.54,0.5,0.53,0.49,0.43,0.53,0.51,0.52,0.46,0.52,0.48,0.48,0.52,0.54,0.51,0.48,0.51,0.51,0.46,0.54,0.5,0.54,0.53,0.55,0.53,0.57,0.49,0.47,0.52,0.51,0.48,0.5,0.54,0.47,0.46,0.54,0.46,0.52,0.48,0.5,0.48,0.51,0.56,0.44,0.46,0.54,0.55,0.57,0.58,0.47,0.56,0.53,0.55,0.5
920,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69
